Item Description,GTIN,Pack Type,Price,UOM,Category
CUTLERY PLASTIC COMBO KFS WHT,10074031154626,3/100 CT,$110.24,CS,WRAPPED
Detergent Liquid,10083725848000,24/3 ct,$64.59/$2.69,CS/BX,Non-Foods
Detergent Lndry 2X Lqd,10037000138751,6/1/25 oz,$39.55/$6.59,CS/BX,Non-Foods
Detergent Lndry Sng Load Lqd,10083725849007,1/24 ct,$23.16,CS,Non-Foods
DISP TEA TCO421 OVAL 4GL,,1/4 GL,$146.89,EA,ACCESSORIES
DRY - Bev Napkins,521203,8/1,$22.50/$2.81,Case/Each,
FILM PVC 2000FT ROLL SLI CUTR,00074865947954,1/12 IN,$17.96,CS,CUTTER SLIDE
FILM PVC ROLL 2000  W/SLI CUTR,00078982005429,1/24 IN,$36.15,CS,CUTTER SLIDE
FILM PVC ROLL 2000FT SLI CUTR,00074865947961,1/18IN,$26.51,CS,CUTTER SLIDE
"FILTER 14X4.5""  2/250CT",00071287140055,2/250 CT,$30.82,CS,SERVICE SUPPLIES
FILTER 14X6  500CT/2CS,00071287140062,2/500 CT,$33.77,CS,SERVICE SUPPLIES
FILTER 18X6 3GL  250CT/2CS,10071287484040,2/250 CT,$48.71,CS,SERVICE SUPPLIES
FILTER 20X8  250CT,00071287202500,1/250 CT,$27.43,CS,SERVICE SUPPLIES
FILTER 20X8 2/250 CT,,52-820A,$65.81,CS,SERVICE SUPPLIES
FILTER 21X9 6GAL  500CS,10071287210090,2/250 CT,$70.13,CS,SERVICE SUPPLIES
FILTER 23X9 9GL  250CT/2CS,10071287230920,2/250 CT,$88.61,CS,SERVICE SUPPLIES
FILTER 25X11 10GL  500CT,00071287805497,2/250 CT,$163.76,CS,SERVICE SUPPLIES
FILTER COFFEE PPR ALTR 15X5 US,00712878055425,1/500 CT,$25.95,CS,COFFEE
FILTER COFFEE PPR U3 18X7.5,10074865316207,250/3GAL,$20.16,CS,COFFEE
FILTER COFFEE TEA 1.5GAL 13X5,00074865316194,2/250 CT,$20.12,CS,ICE TEA
FILTER DELUXE  200CT/12CS,001121651020,1/200 CT,$2.30,EA,SERVICE SUPPLIES
FILTER GREASE FRYMST 16.5X25.5,00074865607209,100/EA,$122.64,CS,GREASE
FILTER PAPER CAFECTION ROLL,,6/1 EA,$44.46,EA,SERVICE SUPPLIES
FILTER TEA WHITE 1.5GL  500CT,10071287805456,500/1.5 GAL,$25.43,CS,SERVICE SUPPLIES
FILTER WHITE (501)  1000CT,10071287836719,1/1000 EA,$21.42,CS,SERVICE SUPPLIES
FILTER WHITE 10GL  300CT,,300/10 GAL,$108.76,CS,SERVICE SUPPLIES
FILTER WHITE 1GL  500CT,10071287836689,1/500 EA,$31.48,CS,SERVICE SUPPLIES
FILTER WHITE 3GL  500CT,10071287836696,1/500 EA,$54.11,CS,SERVICE SUPPLIES
FILTER WHITE 6GAL 500CT,10071287836702,1/500 EA,$93.87,CS,SERVICE SUPPLIES
FILTER WHITE WIDE BTM  1000CT,10071287481018,1/1000 EA,$19.82,CS,SERVICE SUPPLIES
FOIL ALMN ROLL STD WGT 1000 FT,00074865418096,1/18IN,$58.02,CS,ROLL CUTTER BOX
FOIL ALMN ROLL STD WGT 1000 FT,521212,Large Roll,$40.00,1,
FOIL ALMN SHEET 12X10.75 POP,10734730136001,6/500 CT,$119.27/$19.88,CS/EA,SHEETS POP-UP
FOIL ALMN SHEET SLVR 9X10.75,10027901007119,6/500 CT,$71.94/$11.99,CS/EA,SHEETS POP-UP
FOIL SHEET 12X10.75 SILVER,10074865418147,12/200 CT,$95.42/$7.95,CS/EA,SHEETS POP-UP
FOIL SHEET 9X10.75IN SILVER,10074865418130,6/500CT,$69.72/$11.62,CS/EA,SHEETS POP-UP
FORK PLAS PP HVY BLK FULL LENG,00024502323214,1/1000CT,$24.48,CS,FORKS POLYPROP
FORK PLAS PP REFILL BLK SRS T,10078731974119,24/40 CT,$38.05,CS,FORKS POLYPROP
FORK PLAS PS REFILL BLK SRS T,10078731974072,24/40 CT,$45.75,CS,FORKS STYRENE
FORK PLAS WHT WRPD PP,00041165035520,1000/CT,$31.01,CS,WRAPPED
FUEL CANNED CHAFING STEM WICK,00734730602714,24/6HR,$50.85,CS,WICK/LIQ/FUEL
FUEL CANNED HT HANDY WICK,10076642101006,24/2 HR,$47.54,CS,WICK/LIQ/FUEL
FUEL GAS BUTANE CANISTER,10076642501622,12/8OZ,$28.56,CS,BUTANE/FUEL
GLOVE LATEX LRG FLCK-LIN YELW,10738101005330,4/12 PR,$46.58,CS,"GLOVES, LATEX"
GLOVE NITRILE FDSRV PF BLU LRG,10734730431625,10/100CT,$75.03,CS,NITRILE FOODSERVICE
GLOVE NITRILE FDSRV PF BLU MED,10734730431618,10/100CT,$75.03,CS,NITRILE FOODSERVICE
GLOVE NITRILE FDSRV PF BLU SML,10734730431601,10/100CT,$75.03,CS,NITRILE FOODSERVICE
GLOVE NITRILE FDSRV PF BLU XL,10734730431632,10/100CT,$75.03,CS,NITRILE FOODSERVICE
GLOVE POLY EMBOSD FDSV LG,10734730035649,4/500 CT,$35.68,CS,POLY FOODSERVICE
GLOVE POLY EMBOSSED ELBOW LNTH,10738101202739,1/250 CT,$27.19,CS,POLY FOODSERVICE
GLOVE POLY QUICKSERVE ONESIZE,00734730215143,20/50CT,$30.57,CS,POLY FOODSERVICE
GLOVE VINYL PF GENPURP LRG,10738101402337,10/100 CT,$37.47,CS,VINYL FOODSERVICE
GLOVE VINYL PF GENPURP MED,10738101402320,10/100 CT,$37.47,CS,VINYL FOODSERVICE
GLOVE VINYL PF GENPURP XL,10738101402344,10/100 CT,$37.47,CS,VINYL FOODSERVICE
HAIRNET NYLON LG DKBRN LT WGT,10734730431175,1/144CT,$26.03,EA,NYLON
HAIRNET NYLON LRG BLK LT WGT,10734730431182,1/144CT,$26.03,EA,NYLON
KIT CUTLERY F/S/K/NAP/S&P BLK,00024502104684,1/250 CT,$30.40,CS,KITS POLYPROP
KIT CUTLERY FSHNPT N/KFS SLVR,10076455942643,2/50 CT,$103.78,CS,WRAPPED
KIT CUTLERY K/F/S/NP/S&P WHT,00041165035889,250/EA,$23.24,CS,KITS STYRENE
KIT CUTLERY PLAS SFK NAP PP,00041165035865,250/CT,$24.01,CS,KITS POLYPROP
KNIFE PLAS COMPST WHITE 6 IN,00644632932881,24/40 CT,$102.17,CS,KNIVES POLYPROP
KNIFE PLAS PP BLK HVY FULL LEN,00024502312973,1000/CT,$24.43,CS,KNIVES POLYPROP
KNIFE PLAS PP REFILL BLK SRS T,10078731974126,24/40 CT,$38.05,CS,KNIVES POLYPROP
KNIFE PLAS PS REFILL BLK SRS T,10078731974089,24/40 CT,$45.75,CS,KNIVES STYRENE
KNIFE PLAS PS SILVER X-STRNGTH,10734730620050,50/12 CT,$69.46,CS,KNIVES STYRENE
KNIFE PLAS WHT MED WT WRPD,00041165035568,1000/CT,$24.16,CS,WRAPPED
Lid 16z/24z DPE2,521287,,$2.00/$0.02,Sleeve/Each,
LID BOWL PLAS F/18/24/32,00039982006243,1/300 CT,$38.76,CS,CONTAINERS PLAS
LID BROWN FOR HOT CUP 12/100,50794297791653,1/100 CT,$9.50,EA,ACCESSORIES
LID CLEAR F/ 32 OZ STRAW SLOT,00049202022359,10/100 CT,$39.69,CS,MISC.
LID DOME CLR SQUARE 7X7 24-32Z,00016194046373,1/300 CT,$37.79,CS,BOWLS PLAS
LID DOME HOT 12/16/20OZ,00016194103601,12/85 CT,$45.55,CS,CUPS PLASTIC
LID FOIL F/ HALF STMTBL PAN,00074865417990,100/1EA,$30.91,CS,STEAMTABLE PANS
LID FOIL F/FULL STM TBL PAN,00734730198484,80/1EA,$58.71,CS,STEAMTABLE PANS
LID HOT CUP BLK 10-24OZ 1000CT,00850061792440,1/1000 CT,$85.28,CS,ACCESSORIES
LID HOT CUP WHT 10-24OZ 1000CT,00850061792433,12/24 OZ,$96.68,CS,ACCESSORIES
Lid Pl4n Portn Cup 3 25 5 5,00041165277456,20/125 ct,$40.26,CS,Non-Foods
LID PLAS CLR DOME F/BURR BWL,10734730615063,6/50 CT,$75.24,CS,CONTAINERS PAPR
