Item Description,GTIN,Pack Type,Price,UOM,Category
"CAPP VAN MOC RSH (d,s) 6/2LB",10840825010740,6/2LB,$96.82,CS,BEVERAGE
"CAPP WHITE CHOC (d,s) 6/2LB",10840825010580,6/2LB,$96.82,CS,BEVERAGE
CAPP WHT CHOC CARML(ds)2LB/6CS,10840825009102,6/2 LB,$54.93,CS,BEVERAGE
CAPP WHT CHOC CRML (ds) 6/2LB,10078932010883,1/2 LB,$5.79,EA,BEVERAGE
Cappuccino French Vanilla,00028000990190,6/2 lb,$58.08,CS,Cappuccino
Cappuccino French Vanilla,00025500063348,6/2 lb,$41.21,CS,Cappuccino
"CHAI SPICED (d,s) 6/2LB",10840825010504,6/2LB,$38.92,CS,BEVERAGE
Cider Hot Apple K cup,10611247386047,4/24 ct,$73.85/$18.46,CS/BX,Single Cup (ex:Kcup)
CIDER SPICED HOT 25CT/6CS,10840825000062,6/25 CT,$16.91,EA,BEVERAGE
CIDER SPICED HOT 26OZ/6CS,10840825010498,6/1 LB 10 OZ,$5.46,EA,BEVERAGE
CLD BRW BLACK & BOLD BIB 2/6L,00818228000517,2/6 LTR,$91.44,CS,BEVERAGE
CLD BRW HBCRTD DBLESP(d)12/8OZ,00854560005001,80500,$24.00,CS,BEVERAGE
CLD BRW HRS MOCHA LATTE 2/6LT,00818228000326,6/2 LT,$83.24,CS,BEVERAGE
CLD BRW SLTD CRML BIB (d)2/6LT,00818228000531,2/6 LTR,$69.00,CS,BEVERAGE
club soda 1 liter,,,$1.92,ea,
COCOA BREAKFAST 25LB,10840825009249,1/25 LB,$508.38,CS,BEVERAGE
Cocoa Chocolate Supreme,00070461063463,6/1.5 lb,$25.17,CS,Cappuccino
COCOA HOT (d) 25LB,10840825009256,1/25 LB,$155.29,CS,BEVERAGE
COCOA HOT (d) 6/2LB,10840825010467,6/2LB,$38.14,CS,BEVERAGE
"COCOA HOT (d,s) 50CT/6CS",10840825000086,1/50 CT,$16.95,EA,BEVERAGE
COCOA HOT BOYDS (d) 6/2LB,10078932010272,1/2 LB,$5.11,EA,BEVERAGE
COCOA HOT BOYDS (d) 6/3.75LB,10078932010265,1/3.75 LB,$15.69,EA,BEVERAGE
COCOA HOT CAINS(ds) 1.5LB/12CS,10011216851307,1/1.5 LB,$4.59,EA,BEVERAGE
COCOA HOT MEX CHOC (ds) 6/2LB,10078932010388,1/2 LB,$5.62,EA,BEVERAGE
Cocoa Hot Milk Chocolate K cup,10611247382926,4/22 ct,$66.37,CS,Single Cup (ex:Kcup)
COCOA HOT NS ADD (d) 12/1LB,10840825010702,12/1LB,$56.90,CS,BEVERAGE
"COCOA HOT NS ADD (d,s)25CT/6CS",10840825000109,1/25 CT,$15.67,EA,BEVERAGE
COCOA HOT SMORES (d) 2LB/6CS,,6/2 LB,$109.63,CS,BEVERAGE
"COCOA HOT SPC MEX(d,s) 6/2LB",10840825010696,6/2LB,$88.31,CS,BEVERAGE
"COCOA HOT VND SUP (d,s)2LB/6CS",10840825011044,6/2 LB,$34.04,CS,BEVERAGE
"COCOA HT VD SW SUP (d,s) 6/2LB",10840825011051,6/2 LB,$26.93,CS,BEVERAGE
COCOA MIX ALEGRIA,00028000817947,6/1.75LB,$94.19,CS,ICED BREW POUCH
COCOA MIX HOT ABUELITA,00050000202003,6/2LB,$91.66,CS,POWDER BULK
COCOA MIX NO SUGAR ADDED,00050000614110,6/30 CT,$60.32,CS,MISC
COCOA MIX RICH INSTANT PCKT,00050000254859,6/50 CT,$63.93,CS,SINGLE SERVE
COCOA PMINTPATTY MIX(ds) 6/2LB,10840825032063,6/2 LB,$69.08,CS,BEVERAGE
COCOA SC HOT COCOA (d) 6/10 CT,10078932208969,1/10 CT,$10.44,EA,BEVERAGE
COF INST DCF 1000/1.4G,10840825032049,1/1000 CT,$125.32,CS,BEVERAGE
COF INST DECAF JFG 100CT/10CS,,10/1.4 GM,$8.89,EA,BEVERAGE
COFFEE ARB NESCAFE BALANCE AMB,00028000717162,4/250GM,$100.85,CS,FREEZE DRIED
COFFEE BEAN DECAF ESPRSO,40762111886871,6/1 LB,$92.13,CS,GOURMET
COFFEE BEAN ESPRESSO REG,40762111612777,4/5 LB,$307.10,CS,REGULAR
COFFEE BEAN ESPRSO,40012919004299,4/5#,$196.20,CS,GOURMET
Coffee Brazilian Cold Brew,00604913005352,12/11 oz,$28.05,CS,Aseptic Drinks
Coffee Breakfast Blend K cup,10043000080419,4/24 ct,$59.04,CS,Single Cup Value
Coffee Cafe Domingo KCup,10785357024042,4/22 ct,$72.39/$18.10,CS/BX,Single Cup (ex:Kcup)
