Item Description,GTIN,Pack Type,Price,UOM,Category
BREAD SANDWICH WHT,10056884247007,16/675 GR,$58.26,CS,FULLY BAKED
BREAD SOURDOUGH THICK SLI 3/4,10075192002115,6/32 OZ,$34.19,CS,FULLY BAKED
BREAD TOAST TEXAS 3/4 SLI,10823056073005,10/25.6OZ,$39.75,CS,FULLY BAKED
BREAD WHITE SLICED GF,10698997809057,8 / 12 OZ,$50.67,CS,BAKERY
BREAD WHITE SNDW GLUTEN FREE,00698997809012,6/24OZ,$65.57,CS,FULLY BAKED
BREADSTICK GARLIC,10889356033941,120/1.75OZ,$38.10,CS,FULLY BAKED
BREAKFAST FRENCH TOAST MINICHO,00038000808012,72/3.03OZ,$47.53,CS,FRENCH TOAST
Brioche Bun 3oz Sliced,607201,,$0.74,1,
BROWNIE BLONDIE SHT QTR,10749017002733,4/40 OZ,$72.41,CS,UNICED
BROWNIE BLONDIE TOFFEE CRUN,10749017030422,48/2.8 OZ,$80.61,CS,MISC
BROWNIE CHOC BITES,10749017026814,4/121 CT,$95.80,CS,UNICED
BROWNIE CHOC CHIP PRCT,00049578132218,2/6 LB,$47.51,CS,UNICED
BROWNIE CHOC CHUNK FABULOUS,10749017010479,4/3LB,$89.38,CS,UNICED
BROWNIE CHOC IW MANIF GF,10749017033379,48/2.8OZ,$82.88,CS,MISC
BROWNIE CHOC PERUVIAN IW,10749017030415,48/2.88OZ,$81.83,CS,ICED
BUN HAMBURGER GLUTEN FREE IW,10698997806445,24/1EA,$37.06,CS,FULLY BAKED
BUN HAMBURGER MINI YEL SLMR3IN,30573711338621,8/24 CT,$50.55,CS,FULLY BAKED
BUN HAMBURGER WHL WHT DLX 4 IN,10056884300610,8/12 CT,$27.96,CS,MISC.
BUN HMBRGR CHALLAH 4IN,00850873006223,1/60 CT,$31.75,CS,FULLY BAKED
BUN HOT DOG,10056884366005,8/12 CT,$26.03,CS,FULLY BAKED
BUN HOT DOG CLSTR WHLGRNS 6,00070210028828,12/12 CT,$33.68,CS,FULLY BAKED
BUN HOT DOG WHITE 10IN,10889356115036,8/8 CT,$47.55,CS,FULLY BAKED
BUN KAISER WHT CORNDST 4.5SLI,10889356118464,6/12 CT,$34.11,CS,FULLY BAKED
BUN WHITE HMBRGR SLI 4 IN,10039677336409,8/12 CT,$27.41,CS,FULLY BAKED
CAKE COFF PULLMAN ASST#4,10749017000630,4/12.5IN,$97.96,CS,SPCLTY ITEMS
CAKE FUNNEL FRIES,10073321045309,600/1EA,$66.89,CS,MISC.
CAKE LOAF BAN YOG SWRL SLI,10749017031559,2/16 CT,$47.31,CS,MISC.
CAKE LOAF PULLMAN SLI VAR  #9,10749017011865,4/18 SLI,$103.97,CS,SPCLTY ITEMS
CAKE TIRAMISU BSTRO,10032100389065,24/2.6OZ,$43.72,CS,MISC.
CAKE TRIPLE MOUSSE,,24 / 2.7 IN,$106.28,CS,BAKERY
CANNOLI FILLING RICOTTA FRZN,00074865327763,4/1.5LB,$47.08,CS,MISC.
CANNOLI SHELL PASTRY LARGE,00074865301770,48/1 OZ,$39.53,CS,ETHNIC
CHEESECAKE CHOC ASSTD MINI K0757,00745378075709,177 / 0.67 OZ,$143.09,CS,BAKERY
CHEESECAKE LOLLIPOPS ASSORTED,10797301300232,1 / 50 CT,$55.26,CS,BAKERY
CHEESECAKE RASPBERRY WHITE CHOCO14 CUT,10815069000239,2 / 10 IN,$152.45,CS,BAKERY
CHEESECAKE TURTLE 14 CUT,10815069000222,2 / 10 IN,$116.57,CS,BAKERY
CHIP TORTILLA WHT 6 CUT,00027331027056,1/32LB,$26.57,CS,NACHO/TORTILLA
CHIP TORTILLA WHT RAW 4/CUT,00027331027148,1/30 LB,$26.57,CS,MISC.
CHIP TORTILLA YEL 4 IN CUT,00027331027131,1/30 LB,$26.57,CS,MEXICAN FD-MISC
CHOC CALLET SEMI SWEET INTENSE 60/40,05410522234619,1 / 22 LB,$216.40,CS,PANTRY
CHOC PISTOLES LACTEE MILK 38% EZ MELT,,1 / 11 LB,$212.94,CS,PANTRY
CHOC SHAVINGS DARK,00840119101041,1 / 4 LB,$45.22,CS,PANTRY
CHOCOLATE BONBON COLLECTION,00850041533292,1/192 CT,$199.24,CS,MISC.
CHOCOLATE CALLET MILK 31.7% C823,05410522152449,1 / 22 LB,$323.87,CS,PANTRY
CHOCOLATE CALLET WHITE CW2,05410522164169,1 / 22 LB,$332.45,CS,PANTRY
CHOCOLATE DARK SHAVINGS,00852028000216,1/4#,$37.00,CS,MISC.
CHOCOLATE MOCCA COFFEE BEANS MOCHA,00817987008185,1 / 6.6 LB,$223.33,CS,PANTRY
CHOCOLATE SHAVINGS DARK,,1 / 5.5 LB,$65.71,CS,PANTRY
CHURRO PRFRD MEXICAN PASTRY,00074865974370,"100/16""",$88.96,CS,MISC.
CHURRO PRFRD STWBRY,00029141037232,"100/10""",$87.63,CS,MISC.
COFFEE EXTRACT TRABLIT,32538400010422,1 / 1 LT,$127.77,CS,PANTRY
COMPOUND BANANA,04014517202815,1 / 2.2 LB,$57.07,CS,PANTRY
CONE CAKE #10 CUP DSPNSR,10072092002924,8/112CT,$83.99,CS,CAKE CONES
COOKIE CRUMB OREO MED GRIND,10019320029629,12/1 LB,$55.96,CS,BULK
COOKIE CRUMB OREO SM CRUNCH,10019320029391,1/25 LB,$103.31,CS,BULK
CORNBREAD BKD CUT 12X16,10032100082812,4/64 OZ,$56.09,CS,FULLY BAKED
CORNBREAD LOAF JAL,10075192002306,6/32 OZ,$44.48,CS,FULLY BAKED
CRACKER CRUMB GRAHAM,10030100161544,1/25 LB,$66.53,CS,BULK
CRACKER CRUMB GRAHAM,10030100153471,1/10LB,$30.64,CS,BULK
CRACKER SALTINE CRSHD,10024100133281,1/10LB,$28.45,CS,BULK
CREPE PLAIN 6,00734730006659,5/20 CT,$44.32,CS,PRPRD SWEET
CROISSANT BACON & EGG RTB,00878530004566,45 / 3 OZ,$89.21,CS,BAKERY
CROISSANT BUTTER CRVD LG BKD,10094562321076,48/3 OZ,$63.06,CS,BUTTER FULLY BK
CROISSANT BUTTER SLI PNCH MED,10094562321083,64/2 OZ,$61.23,CS,BUTTER FULLY BK
CROISSANT CHOC LARGE RTB,00878530000711,105 / 2.88 OZ,$135.55,CS,BAKERY
CROISSANT HAM & CHEESE RTB,00878530002074,45 / 3 OZ,$103.33,CS,BAKERY
CROISSANT LARGE RTB,00878530001442,64 / 3 OZ,$78.88,CS,BAKERY
CROISSANT MARG BUN SLI,10018000137760,80/2 OZ,$56.38,CS,MARGRN FULLY BK
CROISSANT SPINACH & RICOTTA RTB,00878530002067,45 / 3 OZ,$89.21,CS,BAKERY
CROUTON GARLIC BUTR FRCH CUT,10086631745616,4/2.5LB,$27.22,CS,FLAVORED
DANISH ASSORTMENT LARGE 3-3.4OZ,00700998000029,48 / 3 OZ,$73.52,CS,BAKERY
DANISH ASST IW,10032100083499,24/3.25OZ,$29.16,CS,INDIV WRAPPED
DANISH ASST MINI 1.25 OZ,10032100089248,5/10 CT,$35.74,CS,FULLY BAKED
DANISH CHEESE LARGE RTB,00878530000698,98 / 2.7 OZ,$131.34,CS,BAKERY
DANISH CHERRY GREEK YOGURT RTB,10057483524346,60/115GR,$70.49,CS,MISC.
DANISH STRAWBERRY CHSCK STYL,10057483528894,84/100 GR,$87.75,CS,MISC.
DESSERT BAR TOFFEE ALMOND CRNH,10749017010912,4/16CT,$92.20,CS,PORTIONS
DESSERT BAR VARIETY # 2,00032100085939,4/TRAYS,$98.13,CS,PORTIONS
DESSERT BAR VARIETY 8PK 2#TRAY,10749017015269,8/8 CT,$143.18,CS,DESSERT
DESSERT MOUSSE BANANAS FOSTER,00850041533070,12/3 OZ,$60.34,CS,MISC.
DESSERT MOUSSE MOKA CHOCOLATE,00850041533308,12/3 OZ,$60.34,CS,MISC.
DONUT CHURRO W/CINN SUGAR PKTS,00049800056640,96/2.34OZ,$60.96,CS,MISC.
DONUT HOLE PLAIN CAKE,00049800028319,440/.4 OZ,$40.89,CS,CAKE
DONUT YEAST RING HMSTY,00049800252240,84/2.1 OZ,$36.25,CS,YEAST
DOUGH BAGEL PLAIN,00759008091205,120/4OZ,$42.03,CS,RAW
DOUGH BALL PIZZA 00 FLOUR,00049800168046,60/8 OZ,$60.21,CS,DOUGH BALLS
DOUGH BALL PIZZA 19OZ,00049800067523,24/19 OZ,$46.73,CS,DOUGH BALLS
DOUGH BISCUIT GARLIC & CHEDDAR,10094562063310,210/1.2 OZ,$47.78,CS,RAW
DOUGH BISCUIT SOTHRN E-Z SPLIT,10094562062498,168/3.17OZ,$66.85,CS,RAW
DOUGH BISCUIT SOUTHERN STYLE,10094562062542,120/4.5 OZ,$65.85,CS,RAW
DOUGH BISCUIT SOUTHERN STYLE,10094562062528,216/2.2 OZ,$61.09,CS,RAW
DOUGH BISCUIT WHL GRN EZ SPLIT,10094562322684,216/2.51OZ,$64.25,CS,RAW
DOUGH BREAD FRENCH,00049800030336,24/19.5OZ,$38.62,CS,RAW DOUGH
DOUGH BREAD WHITE,00049800030688,24/18.25Z,$39.80,CS,RAW DOUGH
DOUGH BREADSTICK PLAIN,10047500002551,240/1.5 OZ,$39.16,CS,RAW DOUGH
DOUGH BREADSTICK W/WHL GRAIN,00049800121942,250/1.2 OZ,$43.72,CS,RAW DOUGH
DOUGH COBBLER CRUST SHEET,00049800141384,24/1 LB,$69.24,CS,MISC.
DOUGH COOKIE BUTR SUGAR,10013087581048,320/1 OZ,$48.07,CS,RAW DGH-PIECES
DOUGH COOKIE CARAMEL CRUN,10749017031290,84/3OZ,$98.14,CS,RAW DGH-PIECES
DOUGH COOKIE CHOC CHIP VEGAN,10681400387310,210/1.5OZ,$70.54,CS,RAW DGH-PIECES
DOUGH COOKIE CHOC CHIP XXL,00049800159181,60/5 OZ,$67.45,CS,RAW DGH-PIECES
DOUGH COOKIE CHOC CHUNK,10749017012848,48/4.8 OZ,$76.09,CS,RAW DGH-PIECES
DOUGH COOKIE CHOC CHUNK 3OZ,10013087558002,104/3 OZ,$78.25,CS,RAW DGH-PIECES
DOUGH COOKIE CHOCOLATE CHIP,10013087588009,240/1.33OZ,$78.88,CS,RAW DGH-PIECES
