Item Description,GTIN,Pack Type,Price,UOM,Category
Ice Cream Twix Bar KS,10047677474205,2/24/3 oz,$55.29/$27.65,CS/BX,Ice Cream Products
Ice Cream Twix Bar Vanilla 6pk,10047677301235,12/1.93 oz,$53.82,CS,Ice Cream Products
Ice Cream Twix Pint,10047677485140,8/14 oz,$25.59,CS,Ice Cream Products
Ice Cream Vanilla,10074570004000,8/14 oz,$44.90,CS,Ice Cream Products
Ice Cream Vanilla Bean,00072830676144,8/16 oz,$33.21,CS,Ice Cream Products
Ice Cream Vanilla Cone,00070640400782,24/4.6 oz,$30.05,CS,Ice Cream Products
Ice Cream Vanilla Crnch Bite,00041548405490,16/4 oz,$44.31,CS,Ice Cream Products
Ice Crm Cone Vanilla W  Choc,10072554218603,12/7.5 oz,$33.23,CS,Ice Cream Products
Ice Crm Sandwich Tollhouse CC,10050000235008,12/6 oz,$33.23,CS,Ice Cream Products
Lemonade Soft FZ,10025000065993,12/12 oz,$19.53,CS,Miscellaneous
MANGO CHUNK,10071202105111,2/5 LB,$34.30,CS,CHUNKS
MANGO CHUNK IQF,10071202105173,1/20LB,$67.03,CS,CHUNKS
MARS DOVE ALMOND BAR,56207,,$5.33,EA,
MARS DOVE VANILLA BAR,56209,,$5.33,EA,
MARS SNICKER BAR,56208,,$3.78,EA,
Milk Shake Strwbry Shortcake,10813993007058,12/12 oz,$28.91,CS,Ice Cream Products
Milkshake Chocolate Chill,00813993000540,12/8 oz,$28.91,CS,Ice Cream Products
Milkshake Coconut Caramel CKie,10813993000585,12/8 oz,$28.91,CS,Ice Cream Products
Milkshake Cool Mint Chip,00913993001841,12/8 oz,$28.91,CS,Ice Cream Products
Milkshake Oreo Cookies   Cream,00813993004258,12/8 oz,$28.91,CS,Ice Cream Products
Milkshake PButter W Reeses,00813993005149,12/8 oz,$28.91,CS,Ice Cream Products
Milkshake Vanilla Bliss,00813993003237,12/8 oz,$28.91,CS,Ice Cream Products
MINI BEEF WELLINGTON K725,00745378725000,200 / 1.1 OZ,$291.03,CS,PREPARED FOODS
MINI MELT CAKE POP,56125,,$2.45,1,
Mini Melts Banana split,56119,,$2.45,1,
Mini Melts Brownie Blast,,,$2.45,ea,
Mini Melts Cookie and Cream,56120,,$2.45,1,
Mini Melts Cookie dough,56121,,$2.45,1,
Mini Melts Cotton Candy,56122,,$2.45,1,
Mini Melts Rainbow Ice,56123,,$2.45,1,
Mochi Cookie   Cream 2ct,10070934996103,12/3 oz,$20.74,CS,Ice Cream Products
OKRA CUT GR A IQF,00074865659789,1/30 LB,$50.99,CS,OKRA
PEA & CARROT GR A P,10074865078501,12/2.5 LB,$46.16,CS,PACKAGES
PEA GREEN GR A P,10074865078488,12/2.5LB,$47.24,CS,GREEN PEAS
PEA GREEN GRADE A,00074865633178,1/30 LB,$49.49,CS,GREEN PEAS
PEACH SLI IQF,10071202261114,2/5 LB,$27.70,CS,IQF
PIE APPLE HI-PIE RTB 10 IN,10032100092705,6/49 OZ,$49.00,CS,FRUIT PIE RAW
PIE APPLE RTB 10 IN,10032100092774,6/46 OZ,$35.15,CS,FRUIT PIE RAW
PIE BANANA CREAM T&S 10 IN,10032100071496,6/27 OZ,$36.07,CS,CRM/MERINGUE PI
PIE CHERRY REDC FT RTB 10 NSA,10032100071069,6/46 OZ,$73.55,CS,FRUIT PIE RAW
PIE CHOC CRM 10 IN,10032100071502,6/27 OZ,$38.43,CS,CRM/MERINGUE PI
PIE CHOC MERNGE GRMT,10032100092910,4/49 OZ,$38.05,CS,CRM/MERINGUE PI
PIE COOKIE & CRM,10032100092989,4/38OZ,$49.59,CS,CRM/MERINGUE PI
PIE CREAM BSTN,10032100071564,6/33 OZ,$44.90,CS,CRM/MERINGUE PI
PIE CREAM VARIETY PAK 10,10032100058886,4/EACH,$56.38,CS,CRM/MERINGUE PI
PIE LIME MERNGE,10032100051450,6/37 OZ,$46.92,CS,CRM/MERINGUE PI
PIE PECAN BOURBON T&S 10 IN,10749017002672,4/4.5 LB,$158.25,CS,PIE SLICES
PIE PECAN SOTHRN PRESLI 10 IN,10032100071656,6/36 OZ,$65.03,CS,PIE SLICES
PIE PECAN SOUTHERN 10 IN,10032100092736,6/36 OZ,$54.88,CS,CUSTARD PIE BKD
PIE SWEET POTATO T&S 10,10074865217351,6/40 OZ,$55.16,CS,CUSTARD PIE BKD
PINEAPPLE CHUNK IQF FRZN,10071202285110,2/5,$28.92,CS,PINEAPPLE
Popsicle Bomb Pop Chr Lim Rap,10070640020826,24/3.75 oz,$25.39,CS,Miscellaneous
POTATO AU GRATIN CLASSIC CASS,10074865196632,6/2.25LB,$68.09,CS,AU GRATIN
POTATO CHIP NAT FRY 1/10 IN,10044979003089,6/5 LB,$56.43,CS,"SKINS,BOATS,SHL"
POTATO CKD MASHED RSST TRDTNL,10734730485932,4/6LB,$29.35,CS,MASHED
POTATO DICED CKD RSST SKLS SMA,10734730485758,2/10LB,$21.16,CS,NON MASHED
