Item Description,GTIN,Pack Type,Price,UOM,Category
Applesauce Cinnamon GoGo Sqz,00848860001825,18/3.2 oz,$14.18,CS,Snak-Pak (Fruit&Pud)
Applesauce GoGo Squeeze,00848860000552,18/3.2 oz,$14.48,CS,Snak-Pak (Fruit&Pud)
Applesauce GoGo Squeeze,00848860000552,18/3.2 oz,$14.18,CS,Snak-Pak (Fruit&Pud)
Applesauce Jar PET,00014800001853,12/1/24 oz,$28.32,CS,General Grocery
APPLESAUCE NAT PCH SNCK&GO LS,00014800103151,48/3.2 OZ,$29.06,CS,MISC.
APPLESAUCE NATURAL,00014800001907,8/46OZ,$32.08,CS,UNSWEETENED
APPLESAUCE NATURAL,00014800003260,72/4.5 OZ,$28.12,CS,UNSWEETENED
APPLESAUCE ORIG TRAY PK 4 OZ,10014800000105,6/12CT,$32.63,CS,FLAVORED
APPLESAUCE ORIGINAL PET,00014800001884,8/48 OZ.,$28.45,CS,SWEETENED
APRICOT DRIED WHL TURKISH #4,00687080004946,1/5 LB,$83.33,CS,APRICOTS
APRICOT HVS PLD IN FRUIT JUICE,10078982616004,6/#10,$82.20,CS,IMPORTED
ARANCINI RSTD TOM BASIL MASCARPONE K8143,00745378814308,180 / 0.85 OZ,$156.86,CS,PREPARED FOODS
ARANCINI WILD MUSHROOM AND TRUFFLE K8142,00745378814209,180 / 0.85 OZ,$151.79,CS,PREPARED FOODS
AREPA MINI CHEESE AND JALAPENO K8314,00745378831404,196 / 1 OZ,$125.21,CS,PREPARED FOODS
ART GR RA DCF FRNCH 32/9OZ,10025869146628,32/9 OZ,$486.02,CS,ARTISAN
ART GR RA DCF FRNCH 48/3OZ,10025869146611,48/3 OZ,$114.75,CS,ARTISAN
ART RA DCF FRNCH 2/5LB,10025869146604,1/5 LB,$128.68,EA,ARTISAN
ARTICHOKE HEART 40/50IMP,10041224405308,6/2.5 KG,$81.34/$13.56,CS/EA,MISC
ARTICHOKE HEART QUARTER,10041224405124,6/88 OZ,$89.58,CS,MISC
Artichokes Basil   Thyme,10857513007319,10/1.58 oz,,CS,General Grocery
Avocado Toast,10040822344880,8/2.7 oz,$25.75,CS,Lunchables/Snacks
Awake Chocolate Dark Mint,10891325004913,50/.48 oz,$31.05,BX,Miscellaneous
Baby Ruth Share Pack,00099900358168,8/18/3.3 oz,$279.95/$34.99,CS/BX,Big Block/King Size
Baby Ruth Singles,00099900867806,12/24/1.9 oz,$340.57/$28.38,CS/BX,Singles-Chocolate
BACON BIT IMITATION,10052100010738,6/13 OZ.,$36.46/$6.08,CS/EA,BITS - PURE
BACON WRAP CHICKEN W/JALAPENO CHS K6105,00745378610504,100 / 1 OZ,$158.86,CS,PREPARED FOODS
Bag Jerky Baby Blues BBQ,20852089007319,16/1 oz,$45.89,CS,Meat Snacks
Bag Jerky OG Hickory,20852089007296,16/1 oz,$45.89,CS,Meat Snacks
Bag Popcorn 130oz Stock,00859302003314,1/500 ct,$72.65,CS,MISC FOOD
Bag Popcorn 170oz Stock,00859302003703,1/500 ct,$93.21,CS,MISC FOOD
Bag Popcorn 46oz,,1/1000 ct,$92.60,CS,MISC FOOD
Bag Popcorn 85oz Stock,00859302003857,1/1000 ct,$100.53,CS,MISC FOOD
Bagel Bites Pepperoni Cheese,00070085035020,8/7 oz,$20.91,CS,Miscellaneous
Bagel Chips Garden Veg Dip Crm,10021000062352,2/5/2.5 oz,$19.88/$9.94,CS/BX,Lunchables/Snacks
Bagel Cinn Rsn CrmChs IW,10823056111349,24/4.67 oz,$35.47,CS,Miscellaneous
Bagel Everything Sausg Egg Chs,10817058011639,24/5.25 oz,$58.53,CS,Breakfast
