Item Description,GTIN,Pack Type,Price,UOM,Category
PORK CRMBL CHORIZO FULLY CKD,00031400088176,2/5 LB,$40.24,CS,MISC.
PORK CRUMBLE PIZZA TOP PRCK,30031400015487,2/5 LB,$30.67,CS,SAUSAGE
PORK GROUND BULK FRZN,00070919018076,2/5 LB,$34.09,CS,3ROUND/DICED
PORK LOIN BONELESS CTR CUT,90037600860669,2/10 LB,$2.63,CS,MISC.
PORK LOIN CC CKD FIRE BRAISED,90037600587757,4/4 #AVG,$4.16,CS,MISC.
PORK PATE WITH  BLK PEPRCRN SLICES,10055652784430,6 / 5 OZ,$34.60,CS,PREPARED FOODS
PORK RIB ST. LOUIS 2.75# DN,90070247201518,1/30#AVG,$3.15,CS,SPARE RIBS
PORK RIB ST.LOUIS CKD SMK,90037600319440,12/1.75#,$8.14,CS,LOINS
PORK RIB TIP SLCD PECANWD SMKD,10037600058589,4/5 LB,$120.22,CS,MISC.
PORK SHOULDER FIRE BRAISED,90037600650000,2/6#AVG,$5.22,CS,COOKED
PORK TNDR BNLS AT PR12,90037600118043,8/2 PCE,$2.75,CS,LOINS
PROSCIUTTO CHEF STYLE CHOPPED,10765171705921,8 / 4 OZ,$44.36,CS,MEAT
PROSCIUTTO COTTO,90073541120059,1 / 15 LB,$8.43,CS,MEAT
PROSCIUTTO DI PARMA BONELESS,90073541108057,1 / 16 LB,$16.65,CS,MEAT
PROSCIUTTO DI SAN DANIELE BNLS 14 MONTH,90073541105056,1 / 15 LB,$16.39,CS,MEAT
SALAMI GENOA SLICED,10073464033638,2/5 LB,$54.35,CS,MEAT - MISC FR
SALAMI HARD CALABRESE HOT,90060085205281,4/3 LB,$10.68,CS,DRY SAUSAGE
SALAMI ITAL MILD SOPRESSATA,90762815004767,2/4#AVG,$12.72,CS,BULK
SALAMI SOPRESSATA,70000000000009,3/7 LB,$9.31,CS,MEATS SPCLTY FR
SAUSAGE ANDOUILLE LINK,10070919036329,1/38 EA,$63.77,CS,LINKS
SAUSAGE BEEF SMKD WSTRN,00074865732000,2/5 LB,$69.55,CS,BEEF MISC FRESH
SAUSAGE BF/PK JAL/CHS SMKD 4X1,10812224003609,1/10 LB,$44.46,CS,LINKS
SAUSAGE BF/PK ROPE,10754313159692,1/25LB,$104.31,CS,ROPE
SAUSAGE BOUDIN BLK LNK VA 3/4#,10081498335154,1/10 LB,$32.35,CS,ETHNIC
SAUSAGE BREAKFAST PATTY VEGAN,00850004207000,90/1.7 OZ,$79.80,CS,PLANTBASED PORK
SAUSAGE CHICKEN APL SMKD CKD,10764014203174,1/12.3LB,$75.02,CS,MISC.
SAUSAGE CHICKEN APPLE 2 OZ LINK,00819597000627,1 / 12 LB,$89.93,CS,MEAT
SAUSAGE CHICKEN LNK BKFST TIME,00092227625609,7/1.43LB,$55.02,CS,PROCESSED PRCKD
SAUSAGE CHICKEN PTY 1.5 OZ NAT,10077900128957,2/5 LBS,$39.83,CS,MISC.
SAUSAGE CHKN LINK FC 1.3OZ HAL,10037600373415,2/5 LB,$76.95,CS,LINKS
SAUSAGE CHORIZO MEXICAN,00655809100057,6/2 LB,$58.14,CS,ETHNIC
SAUSAGE CHORIZO PORK RAW BULK,00039437933278,4/5 LB,$81.40,CS,ETHNIC
SAUSAGE CHORIZO VEGAN BULK,00028989103307,2/5 LB,$67.66,CS,PLANTBASED PORK
SAUSAGE CRUMBLE PORK ITALIAN,10031400015629,2/5 LB,$37.62,CS,SAUSAGE
SAUSAGE ITAL LINK 4 OZ FZ FTR,10070919038354,2/5 LB,$37.97,CS,LINKS
SAUSAGE ITAL LNK HOT 4X1 6 IN,00039437007412,1/12 LB,$59.55,CS,ETHNIC
Sausage Ital Style 28 ct Fz,10031400015810,2/5 lb,$41.55,CS,MEAT
SAUSAGE JALAPENO HICK SMKD 4/1,10812224003401,1/10 LB,$42.18,CS,MEAT - MISC FZ
SAUSAGE LINK CHICKEN,10037600699751,200/.8OZ,$56.71,CS,MISC.
SAUSAGE LNK 1 OZ,10077900190060,1/12 LB,$48.43,CS,LINKS
SAUSAGE PATTY CKD MILD 2 OZ,10077900254434,1/10 LB,$42.64,CS,PATTIES
SAUSAGE PATTY PORK MILD FC,10077900254465,107/1.5 OZ,$42.64,CS,COOKED
Sausage Pickled Big Mama,10026200392902,6/12/2.4 oz,$111.63/$18.61,CS/BX,Meat Snacks
SAUSAGE POLISH ROPE KIELB,10070919028508,1/20 LB,$97.83,CS,ROPE
SAUSAGE PORK LNK,10077900190015,96/2 OZ,$48.43,CS,LINKS
SAUSAGE PORK LNK 3.5 OZ,00736526124981,1/20 LB,$72.66,CS,LINKS
SAUSAGE PORK LNK SKINLESS 1 OZ,10077900237048,2/5 LB,$44.92,CS,LINKS
SAUSAGE PORK PATTY,10077900192170,96/2OZ,$47.74,CS,PATTIES
SAUSAGE PORK PTY PRCKD 2 OZ,10077900191371,1/10 LB,$43.21,CS,PATTIES
SAUSAGE PORK PTY W/H,10070457287559,96/2 OZ,$55.95,CS,PATTIES
SAUSAGE SMKD MPLE BIAS CUT Z,10070247175219,2/5 LB,$53.01,CS,SMOKED
SAUSAGE SMKD ON STK 9 3X1,00070773010407,1/10LB,$54.04,CS,ETHNIC
SAUSAGE SUMMER,00002411301806,16/10 OZ,$86.81,CS,MISC.
Slim Jim Giant,10026200117000,6/24/.97 oz,$171.33/$28.56,CS/BX,Meat Snacks
Slim Jim Monster Original,10026200140619,6/18/1.94 oz,$237.42/$39.57,CS/BX,Meat Snacks
Slim Jim Savage Stick,20026200144775,6/12/3 oz,$213.97/$35.66,CS/BX,Meat Snacks
Slim Jim Stick Monster Tobasco,10026200140510,6/18/1.94 oz,,CS/BX,Meat Snacks
