Item Description,GTIN,Pack Type,Price,UOM,Category
Shampoo Dry Dove,10079400457544,6/4/1.15 oz,$80.29/$13.38,CS/BX,Health & Beauty Aids
Shave Cream Foamy,00094187158432,30/2/2 oz,$183.81/$6.13,CS/BX,Health & Beauty Aids
Shaving Gel Sensitive,10841058005206,6/7 oz,$23.16,CS,Health & Beauty Aids
Soap Dove White Regular,10011111614243,48/3.17 oz,$107.64,CS,Health & Beauty Aids
Sunscreen Lotion Sport SPF 30,00094187173695,12/6/1 oz,$175.82/$14.65,CS/BX,Health & Beauty Aids
Tampax Regular,00073010208315,4/12/10 ct,$129.99/$32.50,CS/BX,Health & Beauty Aids
Toothbrush Classic Manual,10035000551143,12/6 ct,$48.97/$4.08,CS/BX,Health & Beauty Aids
Toothbrush Medium,00792554725156,8/6 ct,$65.24/$8.16,CS/BX,Health & Beauty Aids
Toothbrush Soft,00792554721509,8/6/1 ct,$65.24/$8.16,CS/BX,Health & Beauty Aids
Toothpaste Cavity Protection,10037000513114,24/4.2 oz,$48.24,CS,Health & Beauty Aids
Toothpaste Crest,00792554721448,12/4/.85 oz,$92.34/$7.70,CS/BX,Health & Beauty Aids
Tums Ultra Berry 12 Tablets,00094187181348,24/6 ct,$381.15/$15.88,CS/BX,Health & Beauty Aids
Tweezers,00792554114042,12/12/1 ct,$159.24/$13.27,CS/BX,Health & Beauty Aids
Tyenol Sinus Severe 3 Dose,20366715975731,96/6 ct,"$1,307.06/$13.62",CS/BX,Health & Beauty Aids
Tylenol Caplets Extra Strength,30300450449055,12/6/24 ct,$294.69/$24.56,CS/BX,Health & Beauty Aids
Tylenol Cold   Flu 3 Dose,20366715975632,96/6 ct,"$1,307.06/$13.62",CS/BX,Health & Beauty Aids
Tylenol ES Vial Blister Peg Pk,30300450449154,12/12/10 ct,$268.22/$22.35,CS/BX,Health & Beauty Aids
Tylenol Extra Strength 3 Dose,20366715974734,96/6/6 ct,"$1,068.21/$11.13",CS/BX,Health & Beauty Aids
Tylenol PM Extra Strength 3Dos,20366715971733,96/6/6 ct,"$1,068.21/$11.13",CS/BX,Health & Beauty Aids
Tylenol Rapid Release Gelcap,10300450488265,12/6/24 ct,$324.69/$27.06,CS/BX,Health & Beauty Aids
Visine Eye Drops Bottle,00094187129852,24/6/8 ml,$414.68/$17.28,CS/BX,Health & Beauty Aids
Visine Red Eye Comfort,10312547493809,12/3/.5 oz,$181.76/$15.15,CS/BX,Health & Beauty Aids
Wipes Hand Antibacterial,10074887726800,6/6/20 ct,$61.32/$10.22,CS/BX,Health & Beauty Aids
