Item Description,GTIN,Pack Type,Price,UOM,Category
PEPPERONI SLI SNDWCH 3IN DIA,10038616300372,8/2 LB,$86.09,CS,PEPPERONI
PICKLE SLI B&B OLD FASHION,10013000643600,6/#10,$60.82,CS,CHIPS/SLICES
Pistachios Pomegranate,10893869000192,18/1.5 oz,$27.66,CS,Nuts
PIZZA CRUST PINSA RECTANGLE,08051166101713,12/7.8 OZ,$44.45,CS,MISC.
Popcorn Oil - BIB,543935,1/35lb,$58.69,cs,
POTATO FRY STEAK GR A,10734730408689,6/5LB,$46.40,CS,GR A CLS
POTATO TATER BARREL,10734730627684,6/5LB,$54.41,CS,"BARL,PUFF,TOT,G"
POTATO TATER KEG BAC CHD CHIVE,30765847020666,1/10LB,$38.84,CS,"BARL,PUFF,TOT,G"
PUREE MANGO,00000009507029,6/1KG,$122.98,CS,MANGO
Rainbow Stacked Popsicle,56128,,$0.75,1,
Rice Krispies Treats Mini Sqrs,00038000123467,50/19.5 oz,$11.47,BX,Snacks
ROLL SUB WHITE PARBKD 12,00049800892286,42/7.5 OZ,$44.51,CS,PAR BAKED
SALMON SMKD SCOT STYLE RETAIL,10830859001753,12/4 OZ,$77.78,CS,SALMON SMOKED
SALMON SMOKED LASCO,10072840614201,12/3 OZ,$58.81,CS,SALMON SMOKED
SALMON SOCKEYE GRAV LOX,10048313773546,12/4 OZ,$113.94,CS,SALMON SMOKED
Salt Flavacol,54389,1,$30.42,cs,
SEAWEED DRIED DASHI KOMBU,70000000000009,2/1 KG,$87.75,CS,MISC.
SEAWEED NORI TOASTED SHEETS,00047834060046,6/0.45OZ,$28.07,CS,MISC.
SOC DT GROUP CHAT 2/5LB,10025869148240,1/5 LB,$66.90,EA,SUM>ONE COFFEE
SOC DT KOCHERE ETH 2/5LB,10025869148301,1/5 LB,$68.30,EA,SUM>ONE COFFEE
SOC DT OPEN MIC 2/5LB,10025869148233,1/5 LB,$63.40,EA,SUM>ONE COFFEE
SOC DT POSTCARD 2/5LB,10025869148257,1/5 LB,$62.00,EA,SUM>ONE COFFEE
SOC DT SANTA ANA COL 2/5LB,10025869148295,1/5 LB,$65.65,EA,SUM>ONE COFFEE
SOC FTO DCF WHISPER 2/5LB,10025869148288,1/5 LB,$65.90,EA,SUM>ONE COFFEE
SOC FTO DEEP THOUGHTS 2/5LB,10025869148271,1/5 LB,$63.50,EA,SUM>ONE COFFEE
SOC FTO VELVET THREADS 2/5LB,10025869148264,1/5 LB,$64.70,EA,SUM>ONE COFFEE
SOC GR DT GROUP CHAT 32/9OZ,10025869148080,32/9 OZ,$223.74,CS,SUM>ONE COFFEE
SOC GR DT GROUP CHAT 48/3OZ,10025869148325,48/3 OZ,$123.03,CS,SUM>ONE COFFEE
SOC GR DT KOCHERE ETH 32/9OZ,10025869148394,32/9 OZ,$251.64,CS,SUM>ONE COFFEE
SOC GR DT KOCHERE ETH 48/3OZ,10025869148387,48/3 OZ,$126.36,CS,SUM>ONE COFFEE
SOC GR DT OPEN MIC 32/9OZ,10025869148141,32/9 OZ,$234.00,CS,SUM>ONE COFFEE
SOC GR DT OPEN MIC 48/3OZ,10025869148318,48/3 OZ,$117.54,CS,SUM>ONE COFFEE
SOC GR DT POSTCARD 32/9OZ,10025869148097,32/9 OZ,$227.34,CS,SUM>ONE COFFEE
SOC GR DT POSTCARD 48/3OZ,10025869148332,48/3 OZ,$114.21,CS,SUM>ONE COFFEE
SOC GR DT SANTA ANA COL 32/9OZ,10025869148134,32/9 OZ,$240.48,CS,SUM>ONE COFFEE
SOC GR DT SANTA ANA COL 48/3OZ,10025869148370,48/3 OZ,$120.78,CS,SUM>ONE COFFEE
SOC GR FTO DCF WHISPER 32/9OZ,10025869148127,32/9 OZ,$241.38,CS,SUM>ONE COFFEE
SOC GR FTO DCF WHISPER 48/3OZ,10025869148363,48/3 OZ,$122.31,CS,SUM>ONE COFFEE
SOC GR FTO DEEP THOUGTS 32/9OZ,10025869148110,32/9 OZ,$233.82,CS,SUM>ONE COFFEE
SOC GR FTO DEEP THOUGTS 48/3OZ,10025869148356,48/3 OZ,$115.83,CS,SUM>ONE COFFEE
SOC GR FTO VEL THREADS 32/9OZ,10025869148103,32/9 OZ,$241.20,CS,SUM>ONE COFFEE
SOC GR FTO VEL THREADS 48/3OZ,10025869148349,48/3 OZ,$121.14,CS,SUM>ONE COFFEE
Space Balls Cheddar,00850045947521,96/.6 oz,,CS,Bagged Vend Size
STABILIZER WHIP CRM STABIFIX,70000000000009,1/2.2#,$23.65,CS,BAKE NEEDS-MISC
STRAW PLAS WRP TRANS GIANT 8.5,00078982006259,4/500 CT,$40.03,CS,PLASTIC WRPD
STRAW PLAS WRPD WHT/RD J 10.25,521207,,$40.00/$7.00,1/6,
SUGAR PACKET,00074865169127,2000/1/10OZ,$16.38,CS,MISC.
SwissMss Hot Cocoa,63779,6-50ct,$45.35,cs,
SYRUP AGAVE ORGANIC,10612511012730,2/1 LT,$27.47,CS,SYRUPS
TEQ - Patron 1.75L,628233,1,$90.27,1,
Toblerone Crunchy Salty Almond,10070221005310,20/3.52 oz,$62.92,BX,Singles-Chocolate
TOPPING WHIP COLD FOAM SWT CRM,10049800092294,12/1.19 #,$51.77,CS,MISC.
VEGETABLE BLEND ASIAN,10071179188131,12/32 OZ,$44.49,CS,PACKAGES
VEGETABLE BLEND WINTER GR A,10074865018057,12/2 LB,$38.39,CS,PACKAGES
VOD - Titos 1.75L,628243,1,$29.27,1,
WINE - Benaccetto Prosecco Doc,638305,,$8.00,1,
WINE - Echo Bay Sauv Blanc,638300,,$9.80,1,
WINE - Sutter Home Cabernet 187ml,638301,,$1.55,1,
WINE - Zach Brown Cab Uncaged,638301,,$9.09,1,
WSK - Jack Daniels 1.75L,628247,1,$42.86,1,
