Item Description,UOM,Seq,Pack Type,Price,Last Inventory Qty,Inv Count,Total Price
COUSCOUS INTL,CS,239,1/10 LB,$40.37,2.00 CS,2.00 CS,$80.74
COUSCOUS INTL,EA,239,1/10 LB,$40.37,0.00 EA,0.00 EA,$0.00
PEPPER CHIPOTLE MORITA PWDR IR,CS,240,1/20 OZ,$42.52,0.00 CS,0.00 CS,$0.00
PEPPER CHIPOTLE MORITA PWDR IR,EA,240,1/20 OZ,$42.52,4.00 EA,4.00 EA,$170.08
HONEYCOMB CHUNK RAW MINI,CS,241,12/5.6 OZ,$150.15,0.50 CS,0.50 CS,$75.08
HONEYCOMB CHUNK RAW MINI,EA,241,12/5.6 OZ,$12.51,0.00 EA,0.00 EA,$0.00
SAUCE HOT GREEN PPR,CS,242,24/5 FOZ,$62.93,0.00 CS,0.00 CS,$0.00
SAUCE HOT GREEN PPR,EA,242,24/5 FOZ,$2.62,7.00 EA,7.00 EA,$18.35
VINEGAR CIDER APPLE 5% 50 GRN,CS,243,6/1 GAL,$30.23,0.00 CS,0.00 CS,$0.00
VINEGAR CIDER APPLE 5% 50 GRN,EA,243,6/1 GAL,$5.04,0.00 EA,5.00 EA,$25.19
MARMALADE ORANGE BULK POUCH,CS,244,4/8.25LB,$95.91,0.00 CS,0.00 CS,$0.00
MARMALADE ORANGE BULK POUCH,EA,244,4/8.25LB,$23.98,0.00 EA,0.00 EA,$0.00
SAUCE GINGER SWEET ASIAN,CS,245,4/.5 GAL,$52.80,0.00 CS,0.00 CS,$0.00
SAUCE GINGER SWEET ASIAN,EA,245,4/.5 GAL,$13.20,2.00 EA,1.00 EA,$13.20
MAYONNAISE HEAVY DELUXE CG FR,CS,246,4/1 GAL,$91.20,2.00 CS,2.00 CS,$182.40
MAYONNAISE HEAVY DELUXE CG FR,EA,246,4/1 GAL,$22.80,7.00 EA,3.00 EA,$68.40
RICE ARBORIO INTNL BENS,CS,247,2/5LB,$33.69,1.00 CS,1.00 CS,$33.69
RICE ARBORIO INTNL BENS,EA,247,2/5LB,$16.85,3.00 EA,2.00 EA,$33.70
PEACH SLICED IN EXT LGHT SYRUP,CS,248,6/#10,$67.91,2.00 CS,0.00 CS,$0.00
PEACH SLICED IN EXT LGHT SYRUP,EA,248,6/#10,$11.32,11.00 EA,14.00 EA,$158.48
PAN COATING ARSL GRL CANOLA,CS,249,6/17 OZ,$40.09,3.00 CS,0.00 CS,$0.00
PAN COATING ARSL GRL CANOLA,EA,249,6/17 OZ,$6.68,5.00 EA,3.00 EA,$20.05
CHOCOLATE CHIP WHITE MILK,CS,250,1/25LB,$108.14,1.00 CS,1.50 CS,$162.21
CHOCOLATE CHIP WHITE MILK,EA,250,1/25LB,$108.10,0.00 EA,0.00 EA,$0.00
SYRUP PANCAKE & WAFFLE CUP,CS,251,100/1.4 OZ,$18.38,3.00 CS,1.00 CS,$18.38
SYRUP PANCAKE & WAFFLE CUP,EA,251,100/1.4 OZ,$0.18,0.00 EA,0.00 EA,$0.00
SAUCE CHILI W/DISP VALV,CS,252,4/80 OZ,$44.13,6.00 CS,6.00 CS,$264.78
SAUCE CHILI W/DISP VALV,EA,252,4/80 OZ,$11.03,0.00 EA,0.00 EA,$0.00
SAUCE CHILI SAMBAL OELEK,CS,253,6/4.62LB,$88.68,0.00 CS,0.00 CS,$0.00
SAUCE CHILI SAMBAL OELEK,EA,253,6/4.62LB,$14.78,10.00 EA,10.00 EA,$147.80
SUGAR SUBSTITUTE YELLOW PCKT,CS,254,2000/1 G,$33.28,2.00 CS,2.00 CS,$66.56
SUGAR SUBSTITUTE YELLOW PCKT,EA,254,2000/1 G,$0.02,0.00 EA,0.00 EA,$0.00
SUGAR SUBSTITUTE BLUE,CS,255,2000/1 GR,$36.09,1.00 CS,1.00 CS,$36.09
SUGAR SUBSTITUTE BLUE,EA,255,2000/1 GR,$0.02,0.00 EA,0.00 EA,$0.00
SUGAR SUBSTITUTE -PINK,CS,256,2000/1 GR,$23.68,0.00 CS,0.00 CS,$0.00
SUGAR SUBSTITUTE -PINK,EA,256,2000/1 GR,$0.01,0.00 EA,0.00 EA,$0.00
QUINOA GRAIN WHT,CS,257,2/5 LB,$36.39,0.00 CS,0.00 CS,$0.00
QUINOA GRAIN WHT,EA,257,2/5 LB,$18.20,0.00 EA,0.00 EA,$0.00
PASTE TAHINI,CS,258,12/16 OZ,$84.55,0.00 CS,0.00 CS,$0.00
PASTE TAHINI,EA,258,12/16 OZ,$7.05,7.00 EA,7.00 EA,$49.32
SAUCE WING GRLC PARMESAN,CS,259,4/64 OZ,$41.85,0.00 CS,0.00 CS,$0.00
SAUCE WING GRLC PARMESAN,EA,259,4/64 OZ,$10.46,0.00 EA,3.00 EA,$31.38
OLIVE QUEEN STFD 100/110 CT,CS,260,4/1 GAL,$156.34,0.00 CS,0.00 CS,$0.00
OLIVE QUEEN STFD 100/110 CT,EA,260,4/1 GAL,$39.09,3.00 EA,0.00 EA,$0.00
PEAR SLICED IN JUICE,CS,261,6/10#,$62.39,0.00 CS,0.00 CS,$0.00
PEAR SLICED IN JUICE,EA,261,6/10#,$10.40,24.00 EA,24.00 EA,$249.60
MIX GRAVY BRN INST GF,CS,262,6/7 OZ,$32.15,0.00 CS,0.00 CS,$0.00
MIX GRAVY BRN INST GF,EA,262,6/7 OZ,$5.36,0.00 EA,0.00 EA,$0.00
SAUCE HOLLANDAISE RTU,CS,263,6/34.32Z,$66.10,1.00 CS,1.00 CS,$66.10
SAUCE HOLLANDAISE RTU,EA,263,6/34.32Z,$11.02,0.00 EA,0.00 EA,$0.00
DRESSING BALSAMIC VINEGARETTE,CS,264,4/1GAL,$55.37,2.00 CS,2.00 CS,$110.74
DRESSING BALSAMIC VINEGARETTE,EA,264,4/1GAL,$13.84,1.00 EA,1.00 EA,$13.84
SAUCE CHIPOTLE PPR,CS,265,12/5OZ,$37.37,1.00 CS,1.00 CS,$37.37
SAUCE CHIPOTLE PPR,EA,265,12/5OZ,$3.11,1.00 EA,1.00 EA,$3.11
SEASONING FRUIT TAJIN,CS,266,12/5OZ,$28.77,2.00 CS,0.00 CS,$0.00
SEASONING FRUIT TAJIN,EA,266,12/5OZ,$2.40,0.00 EA,2.00 EA,$4.80
SAUCE HOT,CS,267,4/.5 GAL,$57.68,1.00 CS,1.00 CS,$57.68
SAUCE HOT,EA,267,4/.5 GAL,$14.42,0.00 EA,0.00 EA,$0.00
CRACKER TABLE WATER BULK PACK,CS,268,24/4.25OZ,$58.96,1.00 CS,1.00 CS,$58.96
CRACKER TABLE WATER BULK PACK,EA,268,24/4.25OZ,$2.46,0.00 EA,0.00 EA,$0.00
CHOCOLATE CHIP MILK CHOC,CS,269,1/25LB,$120.47,1.00 CS,1.00 CS,$120.47
CHOCOLATE CHIP MILK CHOC,EA,269,1/25LB,$120.50,0.00 EA,0.00 EA,$0.00
SAUCE HOISIN,CS,270,6/5LB,$40.38,0.00 CS,0.00 CS,$0.00
SAUCE HOISIN,EA,270,6/5LB,$6.73,3.00 EA,2.00 EA,$13.46
SAUCE PEPPER CHIPOTLE SALSA,CS,271,6/#10,$51.32,0.00 CS,0.00 CS,$0.00
SAUCE PEPPER CHIPOTLE SALSA,EA,271,6/#10,$8.55,3.00 EA,3.00 EA,$25.66
CURRY PASTE RED BASE,CS,272,3/35 OZ,$52.75,0.66 CS,0.00 CS,$0.00
CURRY PASTE RED BASE,EA,272,3/35 OZ,$17.58,0.00 EA,2.00 EA,$35.16
MUSTARD BROWN BOLD & SPCY,CS,273,4/105 OZ,$27.85,5.00 CS,5.00 CS,$139.25
MUSTARD BROWN BOLD & SPCY,EA,273,4/105 OZ,$6.96,8.00 EA,8.00 EA,$55.70
PUDDING CHOCOLATE TFF,CS,274,6/#10,$48.51,0.00 CS,0.00 CS,$0.00
PUDDING CHOCOLATE TFF,EA,274,6/#10,$8.08,0.00 EA,0.00 EA,$0.00
SAUCE ENCHILADA,CS,275,6/#10,$54.24,0.00 CS,0.00 CS,$0.00
SAUCE ENCHILADA,EA,275,6/#10,$9.04,12.00 EA,12.00 EA,$108.48
SAUCE WORCESTERSHIRE,CS,276,4/1GAL,$34.51,1.00 CS,1.00 CS,$34.51
SAUCE WORCESTERSHIRE,EA,276,4/1GAL,$8.63,0.00 EA,0.00 EA,$0.00
SAUCE MIX CHEESE,CS,277,8/32 OZ,$70.45,0.00 CS,0.00 CS,$0.00
SAUCE MIX CHEESE,EA,277,8/32 OZ,$8.81,3.00 EA,3.00 EA,$26.42
DRESSING HONEY DIJON,CS,278,4/1 GAL,$69.40,1.00 CS,1.00 CS,$69.40
DRESSING HONEY DIJON,EA,278,4/1 GAL,$17.35,0.00 EA,0.00 EA,$0.00
PASTA ELBOW 100% WHL GRAIN,CS,279,2/10 LB,$31.69,2.00 CS,2.00 CS,$63.38
PASTA ELBOW 100% WHL GRAIN,EA,279,2/10 LB,$15.85,0.00 EA,0.00 EA,$0.00
SAUCE TARTAR PKT,CS,280,200/12 GM,$22.33,1.00 CS,1.00 CS,$22.33
SAUCE TARTAR PKT,EA,280,200/12 GM,$0.11,0.00 EA,0.00 EA,$0.00
MUSTARD DIJON PKT,CS,281,200/.25 OZ,$25.74,2.00 CS,2.00 CS,$51.48
MUSTARD DIJON PKT,EA,281,200/.25 OZ,$0.13,0.00 EA,0.00 EA,$0.00
PUDDING BANANA RTU TFF,CS,282,6/#10,$48.96,0.00 CS,0.00 CS,$0.00
PUDDING BANANA RTU TFF,EA,282,6/#10,$8.16,0.00 EA,0.00 EA,$0.00
TOPPING CANDY ENG TOFF MD CHNK,CS,283,4/3 LB,$69.90,1.50 CS,1.50 CS,$104.85
TOPPING CANDY ENG TOFF MD CHNK,EA,283,4/3 LB,$17.48,0.00 EA,0.00 EA,$0.00
SAUCE BBQ CLASSIC KANSAS CITY,CS,284,4/1GAL,$53.80,0.00 CS,0.00 CS,$0.00
SAUCE BBQ CLASSIC KANSAS CITY,EA,284,4/1GAL,$13.45,0.00 EA,0.00 EA,$0.00
PASTA CAVATAPPI CELLENTANI,CS,285,2/10 LBS,$25.08,3.00 CS,0.00 CS,$0.00
PASTA CAVATAPPI CELLENTANI,EA,285,2/10 LBS,$12.54,0.00 EA,0.00 EA,$0.00
SAUCE CHILI THAI SWEET/SPICY,CS,286,6/4.85LB,$81.11,1.00 CS,1.00 CS,$81.11
SAUCE CHILI THAI SWEET/SPICY,EA,286,6/4.85LB,$13.52,0.00 EA,0.00 EA,$0.00
SAUCE GREEN PEPPER,CS,287,12/5 OZ,$37.37,1.00 CS,1.00 CS,$37.37
SAUCE GREEN PEPPER,EA,287,12/5 OZ,$3.11,3.00 EA,3.00 EA,$9.34
MUSTARD YELLOW PLS JUG,CS,288,4/105OZ,$18.39,0.00 CS,0.00 CS,$0.00
MUSTARD YELLOW PLS JUG,EA,288,4/105OZ,$4.60,4.00 EA,4.00 EA,$18.39
POLENTA CORN MEAL YELLOW MED,CS,289,4/5LB,$47.71,0.00 CS,0.00 CS,$0.00
POLENTA CORN MEAL YELLOW MED,EA,289,4/5LB,$11.93,0.00 EA,0.00 EA,$0.00
SAUCE PIZZA PREPARED CA,CS,290,6/#10,$39.85,0.00 CS,0.00 CS,$0.00
SAUCE PIZZA PREPARED CA,EA,290,6/#10,$6.64,13.00 EA,13.00 EA,$86.35
JUICE TOMATO CANNED,CS,291,12/46 OZ,$27.50,0.00 CS,0.00 CS,$0.00
JUICE TOMATO CANNED,EA,291,12/46 OZ,$2.29,7.00 EA,7.00 EA,$16.04
MIX CORNBREAD COMPLT,CS,292,6/5.62LB,$63.05,0.00 CS,0.00 CS,$0.00
MIX CORNBREAD COMPLT,EA,292,6/5.62LB,$10.51,17.00 EA,17.00 EA,$178.67
MIX CAKE WHITE COMPLT,CS,293,6/5LB,$93.95,0.00 CS,0.00 CS,$0.00
MIX CAKE WHITE COMPLT,EA,293,6/5LB,$15.66,5.00 EA,5.00 EA,$78.30
HONEY LIGHT EXTRA AMBER,CS,294,6/5 LB,$124.66,4.00 CS,3.00 CS,$373.98
HONEY LIGHT EXTRA AMBER,EA,294,6/5 LB,$20.78,5.00 EA,0.00 EA,$0.00
DRESSING 1000 ISLD,CS,295,60/1.5 OZ,$20.91,1.00 CS,1.00 CS,$20.91
DRESSING 1000 ISLD,EA,295,60/1.5 OZ,$0.35,0.00 EA,0.00 EA,$0.00
DRESSING HONEY MUST,CS,296,60/1.5 OZ,$25.89,1.00 CS,1.00 CS,$25.89
DRESSING HONEY MUST,EA,296,60/1.5 OZ,$0.43,0.00 EA,0.00 EA,$0.00
SEASONING SPICY SRIRACHA,CS,297,6/22OZ,$130.98,0.00 CS,0.00 CS,$0.00
SEASONING SPICY SRIRACHA,EA,297,6/22OZ,$21.83,0.00 EA,0.00 EA,$0.00
FILLING PIE BLUEBERRY,CS,298,6/#10,$136.05,1.00 CS,1.00 CS,$136.05
FILLING PIE BLUEBERRY,EA,298,6/#10,$22.68,0.00 EA,0.00 EA,$0.00
SAUCE PEPPER HARISSA HOT,CS,299,12/10 OZ,$66.38,0.00 CS,0.00 CS,$0.00
SAUCE PEPPER HARISSA HOT,EA,299,12/10 OZ,$5.53,4.00 EA,4.00 EA,$22.13
SAUCE BBQ CUPS,CS,300,100/1 OZ,$20.82,1.00 CS,1.00 CS,$20.82
SAUCE BBQ CUPS,EA,300,100/1 OZ,$0.21,0.00 EA,0.00 EA,$0.00
SALT KOSHER FLAKE,CS,301,12/3 LB,$38.36,1.00 CS,1.00 CS,$38.36
SALT KOSHER FLAKE,EA,301,12/3 LB,$3.20,7.00 EA,2.00 EA,$6.39
ONION CHP DEHY DISPEN,CS,302,1/15LB,$84.12,1.00 CS,1.00 CS,$84.12
ONION CHP DEHY DISPEN,EA,302,1/15LB,$84.12,0.00 EA,0.00 EA,$0.00
DRESSING CAESAR SPECIAL,CS,303,4/1 GAL,$66.59,3.50 CS,3.00 CS,$199.77
DRESSING CAESAR SPECIAL,EA,303,4/1 GAL,$16.65,0.00 EA,1.00 EA,$16.65
PEANUT BUTTER CREAMY,CS,304,6/5 LB,$64.10,1.00 CS,0.00 CS,$0.00
PEANUT BUTTER CREAMY,EA,304,6/5 LB,$10.68,2.00 EA,4.00 EA,$42.72
SAUCE BBQ ORIGINAL,CS,305,1/5GAL,$57.19,0.00 CS,0.00 CS,$0.00
SAUCE BBQ ORIGINAL,EA,305,1/5GAL,$57.19,0.00 EA,0.00 EA,$0.00
HONEY HOT EXTRA HOT,CS,306,4/24 OZ,$72.95,3.00 CS,3.00 CS,$218.85
HONEY HOT EXTRA HOT,EA,306,4/24 OZ,$18.24,0.00 EA,0.00 EA,$0.00
RICE MIX JAMBALAYA RED SOD PCH,CS,307,6/40 OZ,$47.67,3.00 CS,1.00 CS,$47.67
RICE MIX JAMBALAYA RED SOD PCH,EA,307,6/40 OZ,$7.94,0.00 EA,5.00 EA,$39.73
SAUCE MARINADE CRIOLLO MOJO,CS,308,6/1GAL,$52.17,0.00 CS,0.00 CS,$0.00
SAUCE MARINADE CRIOLLO MOJO,EA,308,6/1GAL,$8.70,5.00 EA,5.00 EA,$43.48
PEPPER RED ROASTED STRIP,CS,309,6/2.5 KG,$66.69,2.00 CS,2.00 CS,$133.38
PEPPER RED ROASTED STRIP,EA,309,6/2.5 KG,$11.12,12.00 EA,12.00 EA,$133.44
DRESSING RASPBERRY VGR FRFT,CS,310,4/1 GAL,$58.74,2.00 CS,2.00 CS,$117.48
DRESSING RASPBERRY VGR FRFT,EA,310,4/1 GAL,$14.69,0.00 EA,0.00 EA,$0.00
SUGAR PACKET TURBINADO CANE,CS,311,1/1200BX,$29.00,1.00 CS,0.75 CS,$21.75
SUGAR PACKET TURBINADO CANE,EA,311,1/1200BX,$29.00,0.00 EA,0.00 EA,$0.00
CORN BABY WHL 300/UP,CS,312,6/#10,$70.37,0.00 CS,0.00 CS,$0.00
CORN BABY WHL 300/UP,EA,312,6/#10,$11.73,3.00 EA,2.00 EA,$23.46
SUGAR IN THE RAW,CS,313,12/2 LB,$62.54,1.00 CS,1.00 CS,$62.54
SUGAR IN THE RAW,EA,313,12/2 LB,$5.21,0.00 EA,0.00 EA,$0.00
TOMATO CRUSHED NO SALT ADD CA,CS,314,6/102 OZ,$38.17,1.00 CS,1.00 CS,$38.17
TOMATO CRUSHED NO SALT ADD CA,EA,314,6/102 OZ,$6.36,9.00 EA,9.00 EA,$57.26
HOMINY WHITE,CS,315,6/#10,$37.07,1.00 CS,1.00 CS,$37.07
HOMINY WHITE,EA,315,6/#10,$6.18,0.00 EA,0.00 EA,$0.00
SUGAR BROWN DARK CANE,CS,316,24/1 LB,$34.58,1.00 CS,2.00 CS,$69.16
SUGAR BROWN DARK CANE,EA,316,24/1 LB,$1.44,22.00 EA,19.00 EA,$27.38
PEA BLACKEYE,CS,317,6/#10,$39.26,0.00 CS,0.00 CS,$0.00
PEA BLACKEYE,EA,317,6/#10,$6.54,6.00 EA,6.00 EA,$39.26
SPOON PLASTIC SERVING BLK 10IN,CS,318,1/72PC,$22.78,11.00 CS,11.00 CS,$250.58
SPOON PLASTIC SERVING BLK 10IN,EA,318,1/72PC,$22.78,0.00 EA,0.00 EA,$0.00
SYRUP PANCAKE & WAFFLE,CS,319,4/1 GAL,$42.58,0.00 CS,0.00 CS,$0.00
SYRUP PANCAKE & WAFFLE,EA,319,4/1 GAL,$10.65,5.00 EA,5.00 EA,$53.25
TEA BAG ENGLISH BKFST,CS,320,6/20 CT,$15.73,0.00 CS,0.00 CS,$0.00
TEA BAG ENGLISH BKFST,EA,320,6/20 CT,$2.62,3.00 EA,3.00 EA,$7.87
TEA EARLGREY,CS,321,6/25 CT,$19.49,1.00 CS,1.00 CS,$19.49
TEA EARLGREY,EA,321,6/25 CT,$3.25,5.00 EA,5.00 EA,$16.24
TEA BAG COZY CHAMOMILE,CS,322,6/25CT,$19.49,0.00 CS,0.00 CS,$0.00
TEA BAG COZY CHAMOMILE,EA,322,6/25CT,$3.25,1.00 EA,0.00 EA,$0.00
TEA GREEN DECAF,CS,323,6/20 CT,$15.73,2.00 CS,2.00 CS,$31.46
TEA GREEN DECAF,EA,323,6/20 CT,$2.62,0.00 EA,0.00 EA,$0.00
TEA HOT BAG HERBAL MINT MEDLY,CS,324,6/28 CT,$23.94,0.00 CS,0.00 CS,$0.00
TEA HOT BAG HERBAL MINT MEDLY,EA,324,6/28 CT,$3.99,2.00 EA,0.00 EA,$0.00
SAUCE WING MILD,CS,325,4/1 GAL,$68.35,0.00 CS,0.00 CS,$0.00
SAUCE WING MILD,EA,325,4/1 GAL,$17.09,0.00 EA,0.00 EA,$0.00
TORTILLA CORN WHT 6,CS,326,12/60 CT,$31.43,4.00 CS,4.00 CS,$125.72
TORTILLA CORN WHT 6,EA,326,12/60 CT,$2.62,0.00 EA,0.00 EA,$0.00
FIGS BLACK MISSION DRIED CHOICE,CS,327,1 / 6 LB,$49.30,0.00 CS,0.00 CS,$0.00
FIGS BLACK MISSION DRIED CHOICE,EA,327,1 / 6 LB,$49.30,0.00 EA,0.00 EA,$0.00
SPREAD CHOCOLATE HZLNT BAG,CS,328,6/35.2OZ,$52.94,0.00 CS,0.00 CS,$0.00
SPREAD CHOCOLATE HZLNT BAG,EA,328,6/35.2OZ,$8.82,0.00 EA,0.00 EA,$0.00
BAG PAPR NAT DELI TO GO W/WIN,CS,329,1/500CT,$115.73,2.00 CS,2.00 CS,$231.46
BAG PAPR NAT DELI TO GO W/WIN,EA,329,1/500CT,$115.70,0.00 EA,0.00 EA,$0.00
SAUCE ASST DESSERT DESNR TOPPG,CS,330,12/EA,$53.82,3.00 CS,3.00 CS,$161.46
SAUCE ASST DESSERT DESNR TOPPG,EA,330,12/EA,$4.48,0.00 EA,0.00 EA,$0.00
KNIFE PLAS PS REFILL BLK SRS T,CS,331,24/40 CT,$45.75,13.00 CS,12.00 CS,$549.00
KNIFE PLAS PS REFILL BLK SRS T,EA,331,24/40 CT,$1.91,0.00 EA,0.00 EA,$0.00
CEREAL GRANOLA OAT N HNY BLKPK,CS,332,4/44 OZ,$64.52,0.00 CS,0.00 CS,$0.00
CEREAL GRANOLA OAT N HNY BLKPK,EA,332,4/44 OZ,$16.13,0.00 EA,0.00 EA,$0.00
KNIFE PLAS WHT MED WT WRPD,CS,333,1000/CT,$24.16,1.00 CS,1.00 CS,$24.16
KNIFE PLAS WHT MED WT WRPD,EA,333,1000/CT,$0.02,0.00 EA,0.00 EA,$0.00
MIX PANCAKE GLDN VALLEY COMPLT,CS,334,6/5 LB,$41.68,2.00 CS,1.50 CS,$62.52
MIX PANCAKE GLDN VALLEY COMPLT,EA,334,6/5 LB,$6.95,2.00 EA,0.00 EA,$0.00
SPICE CHILE PWDR ANCHO,CS,335,6/20 OZ,$105.11,0.00 CS,2.00 CS,$210.22
SPICE CHILE PWDR ANCHO,EA,335,6/20 OZ,$17.52,2.00 EA,0.00 EA,$0.00
PAN FOIL STM TBL DEEP 3-5/16,CS,336,200/THIRD,$104.70,0.50 CS,0.50 CS,$52.35
PAN FOIL STM TBL DEEP 3-5/16,EA,336,200/THIRD,$0.52,0.00 EA,0.00 EA,$0.00
RICE BROWN PARBOILED WHLGRN QC,CS,337,1/25 LB,$22.80,3.00 CS,3.00 CS,$68.40
RICE BROWN PARBOILED WHLGRN QC,EA,337,1/25 LB,$22.80,0.00 EA,0.00 EA,$0.00
LINER PAPER PAN QUILON,CS,338,1000/16X24,$56.83,0.00 CS,0.00 CS,$0.00
LINER PAPER PAN QUILON,EA,338,1000/16X24,$0.06,0.00 EA,0.00 EA,$0.00
PEACH DICED YELLOW CLING ELS,CS,339,6/#10,$70.35,1.00 CS,1.00 CS,$70.35
PEACH DICED YELLOW CLING ELS,EA,339,6/#10,$11.73,0.00 EA,0.00 EA,$0.00
PEPPER BANANA RINGS,CS,340,4/1 GAL,$44.56,0.00 CS,0.00 CS,$0.00
PEPPER BANANA RINGS,EA,340,4/1 GAL,$11.14,2.00 EA,2.00 EA,$22.28
MILK CONDENSED SWEETENED,CS,341,24/14 OZ,$54.17,0.00 CS,0.00 CS,$0.00
MILK CONDENSED SWEETENED,EA,341,24/14 OZ,$2.26,22.00 EA,22.00 EA,$49.65
MIX GRAVY BISC W/PEPPER,CS,342,6/24 OZ,$21.65,0.00 CS,0.00 CS,$0.00
MIX GRAVY BISC W/PEPPER,EA,342,6/24 OZ,$3.61,2.00 EA,2.00 EA,$7.22
MIX WAFFLE BELGIAN,CS,343,8/3.75LB,$54.10,10.00 CS,10.00 CS,$541.00
MIX WAFFLE BELGIAN,EA,343,8/3.75LB,$6.76,0.00 EA,0.00 EA,$0.00
OKRA PICKLED,CS,344,6/.5 GAL,$46.45,0.00 CS,0.00 CS,$0.00
OKRA PICKLED,EA,344,6/.5 GAL,$7.74,0.00 EA,0.00 EA,$0.00
RICE JASMINE,CS,345,1/25 LB,$39.71,30.00 CS,18.00 CS,$714.78
RICE JASMINE,EA,345,1/25 LB,$39.71,0.00 EA,0.00 EA,$0.00
SAUCE CHILI GARLIC,CS,346,6/5LB,$90.21,0.00 CS,0.00 CS,$0.00
SAUCE CHILI GARLIC,EA,346,6/5LB,$15.04,9.00 EA,9.00 EA,$135.36
POWDER BAKING,CS,347,6/5LB,$97.67,0.00 CS,0.00 CS,$0.00
POWDER BAKING,EA,347,6/5LB,$16.28,3.00 EA,3.00 EA,$48.84
SYRUP COFFEE CARAMEL US,CS,348,4/1 LTR,$39.60,0.00 CS,0.00 CS,$0.00
SYRUP COFFEE CARAMEL US,EA,348,4/1 LTR,$9.90,3.00 EA,3.00 EA,$29.70
SYRUP COFFEE VANILLA US,CS,349,4/1 LTR,$39.60,1.00 CS,1.00 CS,$39.60
SYRUP COFFEE VANILLA US,EA,349,4/1 LTR,$9.90,0.00 EA,0.00 EA,$0.00
TEA BREW FILTER PACK,CS,350,32/4 OZ,$61.72,3.00 CS,2.75 CS,$169.73
TEA BREW FILTER PACK,EA,350,32/4 OZ,$1.93,0.00 EA,0.00 EA,$0.00
TOPPING RASPBERRY PLATESCAPER,CS,351,12/19.5OZ,$44.09,1.50 CS,1.50 CS,$66.14
TOPPING RASPBERRY PLATESCAPER,EA,351,12/19.5OZ,$3.67,0.00 EA,0.00 EA,$0.00
SAUCE SWEET & SOUR RTU,CS,352,6/.5GAL,$50.56,0.00 CS,0.00 CS,$0.00
SAUCE SWEET & SOUR RTU,EA,352,6/.5GAL,$8.43,15.00 EA,14.00 EA,$117.98
TEA BLK BLEND TRDTNL,CS,353,96/3.5 OZ,$93.76,0.00 CS,0.00 CS,$0.00
TEA BLK BLEND TRDTNL,EA,353,96/3.5 OZ,$0.98,0.00 EA,0.00 EA,$0.00
TOPPING CHOCOLATE PLATESCAPER,CS,354,12/19.5OZ,$43.19,1.00 CS,1.00 CS,$43.19
TOPPING CHOCOLATE PLATESCAPER,EA,354,12/19.5OZ,$3.60,0.00 EA,0.00 EA,$0.00
SEASONING BBQ MESQT,EA,355,1/26OZ,$18.09,0.00 EA,0.00 EA,$0.00
SEASONING BBQ MESQT,EA,355,1/26OZ,$18.09,4.00 EA,3.00 EA,$54.27
SAUCE JAMAICAN JERK RTU,CS,356,4/.5GAL,$69.51,0.00 CS,0.00 CS,$0.00
SAUCE JAMAICAN JERK RTU,EA,356,4/.5GAL,$17.38,5.00 EA,2.00 EA,$34.76
COOKIE CRUMB OREO MED GRIND,CS,357,12/1 LB,$55.96,1.00 CS,1.00 CS,$55.96
COOKIE CRUMB OREO MED GRIND,EA,357,12/1 LB,$4.66,0.00 EA,0.00 EA,$0.00
SUGAR PACKET,CS,358,2000/1/10OZ,$16.38,2.00 CS,1.00 CS,$16.38
SUGAR PACKET,EA,358,2000/1/10OZ,$0.01,0.00 EA,0.00 EA,$0.00
BAG PLAS RECLOSE GAL XX-HEAVY,CS,359,1/250CT,$19.19,1.00 CS,0.75 CS,$14.39
BAG PLAS RECLOSE GAL XX-HEAVY,EA,359,1/250CT,$19.19,0.00 EA,0.00 EA,$0.00
BREADING SEASONED FISH FRI,CS,360,1/25LB,$38.55,2.00 CS,2.00 CS,$77.10
BREADING SEASONED FISH FRI,EA,360,1/25LB,$38.55,0.00 EA,0.00 EA,$0.00
HONEY PURE CUP,CS,361,200/.5 OZ,$41.29,6.00 CS,6.00 CS,$247.74
HONEY PURE CUP,EA,361,200/.5 OZ,$0.21,0.00 EA,0.00 EA,$0.00
SAUCE STEAK GLASS,CS,362,12/10OZ,$62.15,1.00 CS,1.00 CS,$62.15
SAUCE STEAK GLASS,EA,362,12/10OZ,$5.18,0.00 EA,0.00 EA,$0.00
SHELL TACO YEL REG 5 IN,CS,363,8/25 CT,$19.85,10.00 CS,10.00 CS,$198.50
SHELL TACO YEL REG 5 IN,EA,363,8/25 CT,$2.48,0.00 EA,0.00 EA,$0.00
POTATO SCALLOPED CLS CASSROLE,CS,364,6/2.25LB,$68.09,0.00 CS,0.00 CS,$0.00
POTATO SCALLOPED CLS CASSROLE,EA,364,6/2.25LB,$11.35,0.00 EA,0.00 EA,$0.00
SHORTENING FRY LIQ CLR CANOLA,CS,365,1/35 LB,$42.02,6.00 CS,6.00 CS,$252.12
SHORTENING FRY LIQ CLR CANOLA,EA,365,1/35 LB,$42.02,0.00 EA,0.00 EA,$0.00
VINEGAR CIDER APPLE 5% 50 GRN,CS,366,4/1GAL,$41.13,0.00 CS,0.00 CS,$0.00
VINEGAR CIDER APPLE 5% 50 GRN,EA,366,4/1GAL,$10.28,5.00 EA,0.00 EA,$0.00
SPICE GARAM MASALA,CS,367,6/14OZ,$94.96,0.00 CS,0.00 CS,$0.00
SPICE GARAM MASALA,EA,367,6/14OZ,$15.83,8.00 EA,0.00 EA,$0.00
