Item Description,UOM,Seq,Pack Type,Price,Last Inventory Qty,Inv Count,Total Price
PORK CRMBL CHORIZO FULLY CKD,CS,31,2/5 LB,$40.24,1.00 CS,0.00 CS,$0.00
PORK CRMBL CHORIZO FULLY CKD,EA,31,2/5 LB,$20.12,0.00 EA,0.00 EA,$0.00
BEEF ROAST SLI TOP RND .5 OZ,CS,32,6/2 LB,$127.27,0.00 CS,3.00 CS,$381.81
BEEF ROAST SLI TOP RND .5 OZ,EA,32,6/2 LB,$21.21,0.00 EA,0.00 EA,$0.00
PEACH SLI IQF,CS,33,2/5 LB,$27.70,7.50 CS,5.00 CS,$138.50
PEACH SLI IQF,EA,33,2/5 LB,$13.85,0.00 EA,0.00 EA,$0.00
TURKEY BRST SMK SLICE,CS,34,12/1LBS,$70.89,6.00 CS,6.00 CS,$425.34
TURKEY BRST SMK SLICE,EA,34,12/1LBS,$5.91,0.00 EA,0.00 EA,$0.00
SAUSAGE BEEF SMKD WSTRN,CS,35,2/5 LB,$69.55,13.00 CS,14.00 CS,$973.70
SAUSAGE BEEF SMKD WSTRN,EA,35,2/5 LB,$34.78,0.00 EA,0.00 EA,$0.00
SAUCE ALFREDO POUCH GF,CS,36,4/96 OZ,$78.72,5.00 CS,3.00 CS,$236.16
SAUCE ALFREDO POUCH GF,EA,36,4/96 OZ,$19.68,0.00 EA,0.00 EA,$0.00
BEEF PATTY GR 80/20 4-1 FZ,CS,37,80/4 OZ,$110.28,0.00 CS,0.00 CS,$0.00
BEEF PATTY GR 80/20 4-1 FZ,EA,37,80/4 OZ,$1.38,0.00 EA,0.00 EA,$0.00
BEEF TENDERLOIN PSMO,CS,38,12/5#-UP,$18.68,0.00 CS,0.00 CS,$0.00
BEEF PATTY,CS,39,30/8 OZ,$62.29,14.00 CS,10.00 CS,$622.90
BEEF PATTY,EA,39,30/8 OZ,$2.08,0.00 EA,0.00 EA,$0.00
BEEF SKIRT INSIDE FAJ WHL MARN TW FRZN,lb,40,2/5#,$8.62,100.00 lb,75.00 lb,$646.50
CHICKEN BREAST FOR FAJITA TW MARN FRZN,lb,41,4/5#av,$2.30,0.00 lb,0.00 lb,$0.00
pork chop (bone-in),cs,42,16/10 oz,$5.35,0.00 cs,0.00 cs,$0.00
PORK LOIN BNLS CC ALWYS TNDR,CS,43,2/8-9#AV,$2.23,0.00 CS,0.00 CS,$0.00
TURKEY GROUND 93/7,CS,44,2/10 LB,$60.31,0.00 CS,0.00 CS,$0.00
TURKEY GROUND 93/7,EA,44,2/10 LB,$30.16,0.00 EA,0.00 EA,$0.00
AVOCADO HASS FRSH HAND SCOOPED,CS,45,8/2 LB,$76.12,1.00 CS,1.00 CS,$76.12
AVOCADO HASS FRSH HAND SCOOPED,EA,45,8/2 LB,$9.52,0.00 EA,0.00 EA,$0.00
APTZR POTSTICKER CHICKEN,CS,46,120/1OZ,$57.05,0.00 CS,0.00 CS,$0.00
APTZR POTSTICKER CHICKEN,EA,46,120/1OZ,$0.48,0.00 EA,0.00 EA,$0.00
APTZR QUICHE ASST MINI,CS,47,4/25 CT,$87.86,0.00 CS,0.00 CS,$0.00
APTZR QUICHE ASST MINI,EA,47,4/25 CT,$21.97,0.00 EA,0.00 EA,$0.00
SAUSAGE BREAKFAST PATTY VEGAN,CS,48,90/1.7 OZ,$79.80,0.00 CS,0.00 CS,$0.00
SAUSAGE BREAKFAST PATTY VEGAN,EA,48,90/1.7 OZ,$0.89,0.00 EA,0.00 EA,$0.00
SAUSAGE ANDOUILLE LNK 4X1,CS,49,2/5 LB,$50.96,4.00 CS,7.00 CS,$356.72
SAUSAGE ANDOUILLE LNK 4X1,EA,49,2/5 LB,$25.48,0.00 EA,0.00 EA,$0.00
SALAMI GENOA SLI .125 OZ,CS,50,6/2 LB,$86.32,0.00 CS,0.00 CS,$0.00
SALAMI GENOA SLI .125 OZ,EA,50,6/2 LB,$14.39,0.00 EA,0.00 EA,$0.00
SAUCE PESTO BASIL GREENLEAF,CS,51,3/1.6LB,$66.26,0.00 CS,0.00 CS,$0.00
SAUCE PESTO BASIL GREENLEAF,EA,51,3/1.6LB,$22.09,0.00 EA,0.00 EA,$0.00
PASTA SHEET LASGNA PRCK,CS,52,1/10LB,$37.85,3.00 CS,3.00 CS,$113.55
PASTA SHEET LASGNA PRCK,EA,52,1/10LB,$37.85,0.00 EA,0.00 EA,$0.00
DOUGH COBBLER CRUST SHEET,CS,53,24/1 LB,$69.24,0.00 CS,0.00 CS,$0.00
DOUGH COBBLER CRUST SHEET,EA,53,24/1 LB,$2.88,0.00 EA,0.00 EA,$0.00
DOUGH COOKIE MACADM NUT,CS,54,210/1.5 OZ,$74.67,0.00 CS,0.00 CS,$0.00
DOUGH COOKIE MACADM NUT,EA,54,210/1.5 OZ,$0.36,0.00 EA,0.00 EA,$0.00
PINEAPPLE CHUNK IQF FRZN,CS,55,2/5,$28.92,7.00 CS,2.00 CS,$57.84
PINEAPPLE CHUNK IQF FRZN,EA,55,2/5,$14.46,0.00 EA,0.00 EA,$0.00
BLUEBERRY IQF,CS,56,2/5 LB,$38.19,6.50 CS,2.00 CS,$76.38
